trade_id,strategy_variant,entry_time,exit_time,decision_time,symbol,score,selection_rank,eligible_count,entry_price,exit_price,notional_fraction,quantity_per_unit_plan_capital,funding_events,actual_funding_return,stress_funding_return,gross_long_return,favorable_price_cost_return,favorable_reconciliation_error,favorable_net_return,base_price_cost_return,base_reconciliation_error,base_net_return,stress_price_cost_return,stress_reconciliation_error,stress_net_return
development-rmom21-20230102-TRXUSDT,rmom21,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,TRXUSDT,0.04792789268293292,1,21,0.05476,0.05439,0.5,9.130752373995616,20,0.004673015642016982,0.0023001603779204704,-0.0033783783783783994,-0.0039763513513513815,-1.0408340855860843e-17,0.0006966642906656006,-0.004972975000000046,-6.852157730108388e-17,-0.000299959357983064,-0.005969598648648711,0.0,-0.0036694382707282403
development-rmom21-20230102-XMRUSDT,rmom21,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,XMRUSDT,-0.0376226221827272,2,21,148.46,155.36,0.5,0.003367910548295837,20,0.003358992816316461,0.0016794964081582305,0.023238582783241313,0.02262463963357142,6.938893903907228e-17,0.02598363244988788,0.021601414993937862,-6.938893903907228e-18,0.024960407810254322,0.020578190354304193,0.0,0.022257686762462425
development-rmom21-20230102-RUNEUSDT,rmom21,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,RUNEUSDT,-0.10348936702577323,3,21,1.287,1.421,0.5,0.38850038850038854,20,-0.0009859675361305364,-0.0014789513041958047,0.05205905205905215,0.0514278166278167,2.0816681711721685e-17,0.05044184909168617,0.05037578881118898,1.3877787807814457e-17,0.04938982127505845,0.04932376099456104,2.7755575615628914e-17,0.04784480969036523
development-rmom21-20230102-LTCUSDT,rmom21,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,LTCUSDT,-0.10349176765240577,4,21,70.89,78.68,0.5,0.0070531809846240655,20,-0.0007386305265046812,-0.0011454539818143135,0.054944279870221546,0.054311313302299435,5.551115123125783e-17,0.05357268277579475,0.05325640198899717,6.938893903907228e-17,0.05251777146249249,0.052201490675694795,-3.469446951953614e-17,0.05105603669388048
development-rmom21-20230102-BCHUSDT,rmom21,2023-01-02T00:00:00+0000,2023-01-09T00:00:00+0000,2023-01-01T00:00:00+0000,BCHUSDT,-0.17200059983267313,5,21,96.76,103.64,0.5,0.005167424555601488,20,0.0007544150733996206,0.0001924947441155968,0.03555188094253825,0.03493054981397281,1.1796119636642288e-16,0.03568496488737243,0.03389501926415872,-5.551115123125783e-17,0.03464943433755834,0.03285948871434474,2.0816681711721685e-17,0.03305198345846034
development-rmom21-20230109-DASHUSDT,rmom21,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,DASHUSDT,0.2616225100484836,3,22,47.82,51.78,0.5,0.010455876202425763,21,-0.0010817883350800366,-0.0016226825026200552,0.04140526976160608,0.04078042659974901,-5.551115123125783e-17,0.039698638264668976,0.039739046173149384,2.0816681711721685e-17,0.03865725783806935,0.03869766574654954,2.0816681711721685e-17,0.03707498324392948
development-rmom21-20230109-ETCUSDT,rmom21,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,ETCUSDT,0.22703981420317948,4,22,20.394,22.412,0.5,0.024517014808276946,21,-0.001207907491915669,-0.0018118612378735031,0.04947533588310293,0.048845650681573094,6.245004513516506e-17,0.047637743189657425,0.04779620503089155,-2.7755575615628914e-17,0.04658829753897588,0.04674675938020989,-5.551115123125783e-17,0.04493489814233639
development-rmom21-20230109-NEARUSDT,rmom21,2023-01-09T00:00:00+0000,2023-01-16T00:00:00+0000,2023-01-08T00:00:00+0000,NEARUSDT,0.2122269479998014,5,22,1.646,2.243,0.5,0.3037667071688943,21,-0.0018267463041752128,-0.0027401194562628193,0.18134872417982995,0.18063991494532206,5.551115123125783e-17,0.17881316864114685,0.1794586750303767,0.0,0.1776319287262015,0.17827743511543137,5.551115123125783e-17,0.17553731565916855
development-rmom21-20230116-SNXUSDT,rmom21,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,SNXUSDT,0.6052452791011972,1,24,2.173,2.597,0.5,0.23009664058904739,21,-0.0008506373326701103,-0.0014889138122163254,0.09756097560975607,0.09690243902439022,0.0,0.0960518016917201,0.09580493658536582,2.7755575615628914e-17,0.0949542992526957,0.09470743414634142,-5.551115123125783e-17,0.09321852033412509
development-rmom21-20230116-VETUSDT,rmom21,2023-01-16T00:00:00+0000,2023-01-23T00:00:00+0000,2023-01-15T00:00:00+0000,VETUSDT,0.6010945694629601,2,24,0.02114,0.02222,0.5,23.651844843897827,21,-0.0010496525780510882,-0.001574478867076632,0.0255439924314097,0.024928666035950897,6.591949208711867e-17,0.02387901345789981,0.023903137369914784,-1.1449174941446927e-16,0.022853484791863696,0.022877608703879004,3.8163916471489756e-17,0.02130312983680237
